Classification,Occurences
prints,119469
ephemera,40943
photographs,37850
textiles,33254
drawings,31486
ceramics,25609
books,21793
vases,21478
ornament,17752
architecture,17549
metalwork,14192
woven,11248
glass,11079
paintings,10968
sculpture,10936
silver,7623
furniture,6564
negatives,6159
metal,5305
porcelain,5098
laces,4994
stone,4938
embroidered,4489
pottery,3842
ornaments,3567
wood,3511
sword,3242
gold,3084
printed,2914
jewelry,2779
implements,2624
miscellaneous,2425
woodwork,2295
medals,2259
plaquettes,2090
vessels,2023
aerophone,2005
trimmings,1964
bronze,1890
albums,1849
stucco,1820
terracottas,1809
seals,1803
bronzes,1801
gems,1785
equipment,1733
jade,1679
containers,1649
paper,1621
costumes,1527
bone,1510
velvets,1453
armor,1405
chordophone,1377
iron,1293
swords,1291
codices,1248
tsuba,1242
coins,1206
idiophone,1198
parts,1134
kozuka,1117
firearms,1068
inscribed,1057
stained,1048
enamels,1011
weapons,991
architectural,987
shafted,954
horology,943
ivory,943
netsuke,942
archery,927
stamp,918
gilt,892
flute,888
accessories,886
equestrian,875
posters,875
vibrated,875
ivories,853
clay,843
daggers,826
reed,796
lacquer,795
export,773
reproductions,746
struck,741
lute,734
tapestries,720
painted,719
illustrated,714
copper,708
platinum,688
plucked,688
helmets,637
bottles,629
snuff,629
whistle,618
cylinder,614
rugs,613
tablets,604
alloy,589
fuchi,569
kashira,569
stencils,569
fans,558
natural,553
substances,553
miniature,540
inrÂç,539
arrowheads,525
portfolios,489
bell,476
dress,476
materials,476
membranophone,476
lip,469
drum,465
frames,448
rubbing,448
headed,446
blown,406
periodicals,396
miniatures,393
manuscripts,390
electrotype,386
lead,383
bark,380
buckles,380
reliefs,377
pewter,372
postcards,365
zither,362
brass,359
tiles,359
unfretted,359
double,348
bowed,344
musical,332
fretted,327
chess,323
instruments,310
accessory,306
shaken,304
clapper,302
illuminations,302
fete,298
basketry,296
calligraphy,291
beads,289
womenswear,286
ecclesiastical,285
tomb,285
pistols,275
combination,273
media,272
variable,272
steel,270
cloisonn„,267
che,265
cr„,265
hardstone,265
knives,264
champlev„,263
methods,256
guns,250
blocks,246
lapidary,239
work,239
flasks,238
primers,238
horn,237
sealings,236
works,236
shell,231
rattle,228
manuscript,220
wallpaper,218
side,217
transverse,217
man,214
transparencies,212
cylindrical,208
papyrus,200
krisses,199
spurs,194
shields,192
cesnola,187
inscriptions,187
mail,181
trombone,180
trumpet,180
plates,179
amber,170
end,169
vertical,169
faience,165
badges,161
menswear,161
sample,156
menuki,154
stirrups,153
ojime,151
bits,149
flintlock,148
leatherwork,148
mirrors,148
screens,146
dyed,144
silverplate,134
masks,127
models,123
wheellock,121
gaming,118
pieces,118
gauntlets,112
featherwork,108
decorative,105
archer,104
ring,104
free,103
arms,101
pipe,100
bows,97
ink,97
recorder,97
beadwork,96
precious,96
leg,95
archives,91
saddles,89
bow,88
concussion,87
without,85
collages,84
vessel,84
hide,83
crystal,82
frame,81
harp,81
horns,81
powder,81
shaffrons,81
miscellany,80
assigned,79
bar,79
not,79
piano,79
actions,78
banners,78
blades,78
brocade,78
system,78
valve,78
costume,77
outerwear,76
shoulders,76
breastplates,73
barkcloth,72
conical,72
woodblocks,71
bindings,70
calling,69
cards,69
depressed,67
matchlock,67
rock,67
lighting,63
horse,61
impressions,61
seal,61
kettle,60
arrows,59
gong,59
quivers,59
miquelet,55
cuirasses,54
defense,53
feathers,53
leather,53
panpipe,53
thigh,53
crests,52
helmet,52
stopped,52
cages,51
cricket,51
metals,51
bagpipe,50
barrel,50
installations,49
stones,48
flageolet,47
crossbows,46
crotal,45
goblet,45
organ,45
gourd,43
wear,43
brocades,42
foot,42
long,41
casts,38
rubbings,37
elbow,36
cannon,35
fittings,35
percussion,35
slit,35
waisted,35
panels,34
engravings,33
bamboo,32
basse,32
taille,32
buffes,30
colletins,30
greaves,29
secular,29
dulcimer,28
headwear,28
childrenswear,27
forgeries,27
mouth,27
plastic,27
lyre,26
revolvers,25
scraped,25
backplates,23
fencing,23
harpsichord,23
plaster,23
sketchbooks,22
mosaics,21
tin,21
waist,21
defenses,20
harmonium,20
knee,20
kogai,20
oil,20
pastels,20
sketches,20
alabaster,18
fresco,18
friction,18
surcoat,18
accordion,17
base,17
concertina,17
snuffboxes,17
appliances,16
inkstone,16
machines,16
mosaic,16
cylindro,15
flue,15
jingle,15
keyboard,14
matter,14
passementerie,14
portraits,14
pouches,14
smoking,14
snaphaunce,14
tobacco,14
wax,14
non,13
tube,13
bandoleers,12
coat,12
facsimiles,12
parchment,12
tools,12
walrus,12
hunting,11
neckwear,11
photographic,11
scientific,11
virginal,11
barometers,10
clocks,10
documents,10
steatites,10
thermometers,10
trappings,10
