Country,Occurences
egypt,33361
united,9803
states,9592
iran,6934
peru,3514
france,2285
byzantine,1673
mexico,1594
indonesia,1440
india,1429
england,1399
turkey,1010
germany,973
china,963
new,955
guinea,933
republic,912
papua,884
syria,873
nigeria,657
italy,610
congo,585
democratic,528
iraq,521
day,508
present,508
spain,455
canada,405
mali,393
colombia,371
ivoire,340
america,258
cameroon,254
costa,254
rica,254
japan,244
probably,243
ecuador,234
bolivia,233
northern,222
morocco,218
kingdom,216
uzbekistan,180
netherlands,174
ghana,167
sudan,164
panama,152
afghanistan,150
arabia,145
austria,142
guatemala,131
benin,130
saudi,128
philippines,122
burkina,118
faso,118
algeria,110
palestine,102
central,101
south,100
czech,99
islands,99
russia,96
nubia,91
possibly,86
gabon,85
africa,81
australia,76
formerly,73
liberia,72
solomon,70
thailand,70
chile,68
malaysia,66
vanuatu,65
switzerland,64
burma,63
myanmar,63
angola,56
belgium,54
greece,54
ethiopia,49
fiji,49
northwestern,49
asia,48
brazil,48
pakistan,45
western,45
dominican,44
tanzania,42
ireland,39
tibet,39
korea,38
azerbaijan,37
leone,35
sierra,35
yugoslavia,34
former,33
zealand,33
eastern,32
madagascar,32
togo,32
hungary,31
kenya,30
north,30
senegal,30
argentina,28
turkmenistan,28
borneo,27
armenia,26
slovakia,26
guyana,25
tunisia,25
caledonia,24
southern,23
croatia,22
nepal,20
niger,20
norway,19
uganda,19
yemen,19
islamic,18
lands,18
nauru,18
portugal,18
persia,17
scotland,16
coast,15
gaul,15
ivory,15
northwest,15
usa,15
french,14
west,14
samoa,13
bulgaria,12
marquesas,12
upper,12
volta,12
europe,11
marshall,11
mozambique,11
paraguay,11
sweden,11
tonga,11
zimbabwe,11
baghdad,10
cuba,10
taiwan,10
tunesia,10
unknown,10
