Culture,Occurences
american,32332
french,24942
greek,21321
attic,17359
japan,16663
china,13874
italian,12683
british,11797
german,8814
european,6391
japanese,6135
roman,5760
probably,3428
cypriot,3315
possibly,2583
spanish,2567
chinese,2375
peoples,2278
people,1879
paris,1724
coptic,1673
london,1663
market,1656
dutch,1651
south,1489
india,1403
etruscan,1376
indian,1330
venice,1330
indonesia,1296
russian,1127
staffordshire,1083
iran,1072
austrian,1056
eastern,1052
sasanian,1028
java,1027
flemish,1026
meissen,909
mexican,870
north,814
frankish,808
swiss,793
central,778
minoan,776
netherlandish,716
moche,697
assyrian,661
asmat,651
vres,635
byzantine,570
coast,569
middle,556
korea,555
babylonian,541
thailand,538
belgian,523
irish,515
augsburg,472
native,447
florence,444
peru,438
east,422
murano,409
paracas,402
naples,401
southern,397
region,386
after,378
peruvian,378
original,377
pakistan,372
turkish,371
chimã,366
northern,358
loma,357
negra,352
javanese,337
worcester,324
apulian,319
tibet,318
ancient,308
hungarian,307
chelsea,303
kwoma,297
lydian,296
italic,292
brussels,291
group,288
rome,284
birmingham,280
vienna,277
mediterranean,269
yoruba,265
bohemian,264
laconian,263
egyptian,259
nuremberg,258
persian,254
sumerian,254
tibetan,253
achaemenid,250
asia,247
portuguese,246
islands,237
unknown,236
gujarat,229
bactria,223
vicã,223
archaeological,222
complex,222
margiana,222
milan,220
catalan,219
parthian,214
gandhara,210
philippine,205
inuit,204
swedish,204
corinthian,203
nepal,203
nasca,196
kuba,193
inca,192
clan,191
edo,191
cambodia,186
danish,184
etruria,184
old,184
sardis,182
vietnam,179
genoa,174
valley,174
blade,172
island,172
islamic,171
scottish,171
colony,170
rajasthan,170
trading,170
saxony,168
new,164
syrian,164
rouen,163
kashmir,162
delft,160
dogon,160
northwest,157
crete,156
mezcala,153
kathmandu,151
boeotian,148
petersburg,148
bengal,146
wari,144
western,144
aymara,142
african,141
chancay,141
thai,141
maya,137
tarentine,136
trent,133
stoke,130
campanian,128
limoges,121
iranian,120
batak,117
beauvais,117
costa,117
mycenaean,117
aztec,116
cheyenne,116
fon,114
hilt,113
pradesh,113
burmese,112
kalaba,112
lyons,112
assyro,111
autonomous,108
geneva,108
sri,108
xinjiang,108
kingdom,107
decoration,106
west,105
phoenician,103
baule,102
derby,102
senufo,98
polish,97
berlin,96
nymphenburg,96
neolithic,95
chantilly,94
continental,94
toba,94
urbino,94
neo,93
saint,93
chst,92
bangladesh,91
cretan,91
albanian,90
bamana,90
seville,90
sicily,90
jouy,89
olmec,89
padua,89
buckinghamshire,88
josas,88
shaker,88
sheffield,88
slovak,88
fabric,87
moroccan,87
norwegian,86
philippines,86
versailles,84
jammu,83
nantes,82
czech,81
seleucid,81
crusader,80
indonesian,80
wanyi,80
ica,79
lumajang,79
romanian,79
dublin,78
korean,77
gaul,76
pasiran,76
sumatran,76
akan,75
late,73
bristol,72
colombia,72
deruta,72
dresden,70
gubbio,70
malayan,70
pueblo,69
mitanni,68
mounts,68
scythian,68
tairona,68
aegean,67
asante,67
mughal,67
burma,66
amsterdam,65
burano,65
frankenthal,65
siena,65
colima,64
dan,64
valencia,64
atlantic,63
ghassulian,63
montenegrin,63
villanovan,63
watershed,63
hills,62
langobardic,62
lille,62
rican,62
bow,61
kongo,61
nevers,61
bornean,60
celtic,60
cloud,60
lampung,60
bihar,58
rica,58
strasbourg,58
france,57
helladic,57
hopi,57
iatmul,57
lankan,57
post,57
satchanalai,57
armenian,56
caucasian,56
iban,56
munich,56
ptolemaic,56
style,56
america,55
brescia,55
burslem,55
elamite,55
province,55
saxon,55
ancestral,54
balinese,54
copenhagen,54
mechlin,54
nepalese,54
sicilian,54
veneto,54
yinibu,54
york,54
afghan,53
classical,53
mongolian,53
avar,52
igbo,52
lambayeque,52
made,52
tamil,52
abruzzi,51
alsace,51
bedfordshire,51
ecuadoran,51
faenza,51
haida,51
lanka,51
nadu,51
salinar,51
tuscany,51
bolivian,50
europe,50
nabataean,50
sumba,50
antwerp,49
fijian,49
honiton,49
northeast,49
rhodian,49
sicã,49
visigothic,49
cameroon,48
catalonia,48
republic,48
silesia,48
alaska,47
cycladic,47
germany,47
melanesian,47
siberia,47
tlingit,47
akkadian,46
quito,46
sulawesi,46
toraja,46
alanic,45
arabian,45
thuringia,45
turkestan,45
vincennes,45
minor,44
mint,44
calima,43
kirdi,43
sumatra,43
taã,43
zurich,43
switzerland,42
abelam,41
colonial,41
fulda,41
hattian,41
mogollon,41
spitalfields,41
sur,41
syro,41
thanjavur,41
colombian,40
congo,40
export,40
innsbruck,40
mennecy,40
tolima,40
veracruz,40
bologna,39
