Object.ID,level,level2,level3,Names,Material,Materials,Object.Name,Link.Resource
500527,Aerophone,Organ,Organ,Pipe Organ,Wood,Wood | metal | various materials,Pipe Organ,http://www.metmuseum.org/art/collection/search/500527
500533,Aerophone,Reed Vibrated,double reed,Oboe,Boxwood,Boxwood | brass,Oboe,http://www.metmuseum.org/art/collection/search/500533
500561,Aerophone,Reed Vibrated,bagpipe,Cornemuse,Wood,Wood | ivory | sheep or cowhide | leather | velvet,Cornemuse,http://www.metmuseum.org/art/collection/search/500561
500597,Aerophone,Reed Vibrated,double reed,Suona,Rosewood,Rosewood | brass.,Suona,http://www.metmuseum.org/art/collection/search/500597
500598,Aerophone,Reed Vibrated,double reed,Haidi,Rosewood,Rosewood | brass.,Haidi,http://www.metmuseum.org/art/collection/search/500598
500599,Aerophone,Lip Vibrated,trumpet / trombone,Lapa,Wood,Wood | metal | various materials,Lapa,http://www.metmuseum.org/art/collection/search/500599
500600,Aerophone,Lip Vibrated,trumpet / trombone,Zhajiao,Wood,Wood | metal | various materials,Zhajiao,http://www.metmuseum.org/art/collection/search/500600
500609,Aerophone,Lip Vibrated,horn,Hai-Lo,Wood,Wood | metal | various materials,Hai-Lo,http://www.metmuseum.org/art/collection/search/500609
500629,Aerophone,Blow Hole,end-blown flute (vertical),Xiao (flute),Wood,Wood | metal | various materials,Xiao (flute),http://www.metmuseum.org/art/collection/search/500629
500630,Aerophone,Blow Hole,side-blown flute (transverse),Dizi,Wood,Wood | metal | various materials,Dizi,http://www.metmuseum.org/art/collection/search/500630
500631,Aerophone,Reed Vibrated,double reed,Quanzi,Wood,Wood | metal | various materials,Quanzi,http://www.metmuseum.org/art/collection/search/500631
500632,Aerophone,Blow Hole,end-blown flute (vertical),Pina,Wood,Wood | metal | various materials,Pina,http://www.metmuseum.org/art/collection/search/500632
500633,Aerophone,Blow Hole,end-blown flute (vertical),Xiao,Wood,Wood | metal | various materials,Xiao,http://www.metmuseum.org/art/collection/search/500633
500636,Aerophone,Lip Vibrated,trumpet / trombone,Haotong (natural trumpet),Wood,Wood | metal | various materials,Haotong (natural trumpet),http://www.metmuseum.org/art/collection/search/500636
500638,Aerophone,Whistle Flute,whistle,Osobuki,Wood,Wood | metal | various materials,Osobuki,http://www.metmuseum.org/art/collection/search/500638
500654,Aerophone,Lip Vibrated,trumpet / trombone,Horagai or Rappakai,Shell; triton,Shell; triton | tritonis.,Horagai or Rappakai,http://www.metmuseum.org/art/collection/search/500654
500656,Aerophone,Free Reed,mouth organ,Dosa,copper,copper | cord,Dosa,http://www.metmuseum.org/art/collection/search/500656
500657,Aerophone,Free Reed,mouth organ,Sho,wood,wood | metal,Sho,http://www.metmuseum.org/art/collection/search/500657
500663,Aerophone,Blow Hole,end-blown flute (vertical),Fue,Wood,Wood | metal | various materials,Fue,http://www.metmuseum.org/art/collection/search/500663
500664,Aerophone,Reed Vibrated,double reed,Hichiriki,Wood,Wood | bamboo,Hichiriki,http://www.metmuseum.org/art/collection/search/500664
500668,Aerophone,Lip Vibrated,trumpet / trombone,Rkangling (leg bone flute),Wood,Wood | metal | various materials,Rkangling (leg bone flute),http://www.metmuseum.org/art/collection/search/500668
500684,Aerophone,Blow Hole,end-blown flute (vertical),Shakuhachi,Bamboo,Bamboo | horn | lacquer,Shakuhachi,http://www.metmuseum.org/art/collection/search/500684
500688,Aerophone,Blow Hole,end-blown flute (vertical),Hitoyokiri,Wood,Wood | metal | various materials,Hitoyokiri,http://www.metmuseum.org/art/collection/search/500688
500689,Aerophone,Blow Hole,end-blown flute (vertical),Hitoyogiri,Wood,Wood | metal | various materials,Hitoyogiri,http://www.metmuseum.org/art/collection/search/500689
500726,Aerophone,Blow Hole,end-blown flute (vertical),Tanso,Wood,Wood | metal | various materials,Tanso,http://www.metmuseum.org/art/collection/search/500726
500729,Aerophone,Reed Vibrated,double reed,T'aep'Yongso,Wood,Wood | metal | reed,T'aep'Yongso,http://www.metmuseum.org/art/collection/search/500729
500733,Aerophone,Lip Vibrated,trumpet / trombone,Nag-Phéni,copper,copper | paint,Nag-Phéni,http://www.metmuseum.org/art/collection/search/500733
500743,Aerophone,Lip Vibrated,horn,Ranasringa,Metal,Metal | muslin,Ranasringa,http://www.metmuseum.org/art/collection/search/500743
500749,Aerophone,Reed Vibrated,single reed cylindrical,Tubri,Gourd,Gourd | wood | reeds,Tubri,http://www.metmuseum.org/art/collection/search/500749
500764,Aerophone,Lip Vibrated,trumpet / trombone,Turha or Karna,Wood,Wood | metal | various materials,Turha or Karna,http://www.metmuseum.org/art/collection/search/500764
500766,Aerophone,Reed Vibrated,double reed,Hnè,Wood,Wood | metal | various materials,Hnè,http://www.metmuseum.org/art/collection/search/500766
500781,Aerophone,Lip Vibrated,trumpet / trombone,Nagphani,Wood,Wood | metal | various materials,Nagphani,http://www.metmuseum.org/art/collection/search/500781
